steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	911.68896651268	4232.684753757658	4815.281325929467	1228.1022926677508	4962.791547005443	1583.480011605026	199.06836	198.88533	3.5157775616645814	3.322632489204407	40001	-6.1430883	0.07609602808952332
100000	100	2053.796288251877	7504.272747041975	7467.2547944013095	94.19583651813915	7659.418028088416	7371.021634357297	398.3475	398.3647	4.577793135643005	4.322224974632263	90001	-6.1468387	0.15927860140800476
150000	150	3239.013648033142	8629.319159173616	8660.825456555714	159.28214480709894	8837.127391082637	8329.961538335612	511.6045	511.48938	6.390823523998261	6.254773333072662	140001	-6.03263	0.19285927712917328
200000	200	4422.595338821411	9364.53299112034	9341.225844999133	147.5636716192043	9573.467978790815	9191.051777544155	584.6432	585.2424	9.389254908561707	10.041399178504944	190001	-5.8813534	0.21709519624710083
250000	250	5599.376882314682	10266.456924582324	10247.153444760565	76.3909928092858	10407.180879841178	10188.924062410946	653.4655	653.3382	10.917129049301147	10.650440435409546	240001	-6.0337706	0.23338018357753754
300000	300	6779.507359027863	10056.460336285867	10068.954018243054	174.94958305593133	10293.07527796056	9735.187679668488	705.892	705.65845	13.267148442268372	12.670638236999512	290001	-5.8090487	0.2385357916355133
350000	350	7970.79434633255	10226.892086837262	10231.072704406164	145.1569891910269	10457.126342132302	9969.93882711772	743.0414	742.87537	12.889139642715454	12.815779194831848	340001	-5.9088945	0.2607007622718811
400000	400	9157.721645116806	11144.885496171983	11145.596804361288	164.84324949376858	11456.838753295393	10841.772983184032	760.4969	760.234	14.90891014099121	13.854265537261963	390001	-6.0114884	0.26045793294906616
450000	450	10335.849187612534	11318.6344622559	11312.584641721947	73.11159763616213	11491.43548206658	11235.505237065845	780.7248	780.4345	14.593062825202942	14.166178035736085	440001	-5.9231553	0.26121798157691956
500000	500	11517.242072343826	11372.134084626128	11404.718372456222	132.16596303056372	11555.501656013059	11173.907369853903	807.0635	807.06647	15.521108980178832	14.156673727035523	490001	-5.9414763	0.2578938901424408
550000	550	12704.524731636047	11571.593050841793	11543.602814827265	131.0684947248647	11838.562278970723	11418.801577277367	833.8698	833.8475	15.09563238143921	14.90899528503418	540001	-5.7319	0.26288801431655884
600000	600	13914.714235782623	9209.844798067314	10913.744394354373	3508.024527506188	11741.347783825579	1605.3184368118114	845.31226	845.7734	15.711926031112672	15.468663711547851	590001	-5.9796963	0.25504547357559204
650000	650	15105.88942527771	11666.71681807959	11688.047141162637	200.1203528191173	11922.223184138116	11421.444035276621	857.5564	858.0329	17.6085502243042	17.415066442489625	640001	-5.7888784	0.25929689407348633
700000	700	16298.042319774628	11778.187029571352	11791.320777209075	137.39768961248964	11979.758571032673	11479.161342252157	872.3005	872.38416	16.620762639045715	16.34497414588928	690001	-5.9514613	0.25787293910980225
750000	750	17495.672687530518	12137.210666589723	12090.394567412728	86.94932738177192	12283.054234245203	12057.358357010671	893.4628	893.34717	14.827955994606018	14.70058485031128	740001	-5.8936973	0.2523970603942871
800000	800	18690.44885659218	11971.369414223649	12008.377464682091	167.57918276780958	12158.434679671556	11553.862160408806	900.3879	900.377	16.03610016822815	15.62746859550476	790001	-6.374808	0.25176942348480225
850000	850	19888.643680095673	12008.79585015754	12023.802436933145	137.50309066210315	12174.579547504487	11816.918823501472	922.3776	922.68835	17.38938049316406	16.564038529396058	840001	-6.1781816	0.26085004210472107
900000	900	21111.3552172184	12297.19568088871	12291.869396179472	137.5383800367913	12617.226495192645	12132.230586645815	924.9089	925.0804	17.801036863327028	19.106441297531127	890001	-6.3323646	0.25329652428627014
950000	950	22343.90390229225	12361.633033787586	12317.898776627117	186.61665386114367	12797.56573599865	12149.680223084206	923.3193	923.1398	16.734567461013793	15.947137851715087	940001	-5.597973	0.25345727801322937
1000000	1000	23567.9593064785	12551.561645683514	12564.658760568414	142.27721801737425	12757.314000811784	12245.19879851301	952.8024	952.9546	15.58738314628601	15.799525728225708	990001	-6.07679	0.2552414536476135
