steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	710	632.1190536022186	265.21020606661	289.8091488705755	93.78754859340896	387.7266756779258	115.02682932672356	132.43463	132.62068	9.368067831993104	9.894574503898621	40001	-6.088039	0.05382354184985161
100000	982	1408.8628034591675	409.01414938792374	417.964157184076	127.2135875281897	624.0055669716435	123.7676906052279	133.19418	133.79596	8.709804902076721	7.944705834388733	90001	-6.253911	0.05539023131132126
150000	1104	2201.138591527939	2896.896050333408	3483.7621079667006	1105.8004054687276	3620.5521345435495	181.1206709705431	176.56656	176.7497	10.042619562149047	10.797499289512634	140001	-5.921483	0.06735667586326599
200000	1214	2977.0178294181824	1979.6195882488291	1983.0920483996408	791.3579178027326	3178.3963186146802	900.208533788221	233.87524	233.50955	12.383323278427124	12.681621689796447	190001	-6.113604	0.07270294427871704
250000	1308	3756.064671754837	1766.4332539312095	324.92964906931365	1926.1847768354412	4143.401462069445	241.08736159624067	249.60643	250.537	18.128061609268187	17.79762992858887	240001	-5.935658	0.08351920545101166
300000	1380	4525.816435098648	603.6070699860674	151.45294074912772	1434.6858023604163	4686.610753862515	118.44588662989142	276.6116	275.82986	15.8061008644104	15.743296670913697	290001	-6.4577117	0.08455535769462585
350000	1451	5294.022750377655	3787.383514733834	4385.071979278073	1043.3712375185253	4700.427335457083	1994.921241547781	297.5806	297.50647	15.27429081916809	14.570748643875122	340001	-5.966066	0.08024302870035172
400000	1517	6067.12700343132	5010.1944856224745	5011.31803552219	45.23302205169011	5076.468758079636	4949.0570553954885	312.9552	312.61087	15.580106959342956	15.612167749404907	390001	-6.3073797	0.08156346529722214
450000	1580	6833.910230398178	4940.957732400086	4941.514522950623	105.56688566558408	5146.822307477109	4787.130670642651	333.4895	333.37704	15.665996942520142	15.087590570449828	440001	-5.771738	0.07920505851507187
500000	1633	7602.003629207611	5155.542348169783	5150.097704535071	37.27497502749324	5220.549518390921	5102.037537061616	352.91156	352.59552	15.175766496658325	15.473504214286804	490001	-6.19771	0.0779281035065651
550000	1690	8379.50224518776	5237.01218621633	5444.839931559873	587.3627471579579	5484.368561308665	3572.6431276826524	363.94177	363.94525	15.604787034988403	15.353143272399903	540001	-6.0038905	0.08192036300897598
600000	1742	9159.251388072968	5189.691026820495	5187.049797590105	32.621864729742875	5243.5639243821815	5137.235804933743	381.18433	381.34088	13.729381098747254	13.20271833896637	590001	-5.7777753	0.0770876556634903
650000	1795	9940.860654354095	5557.540465857173	5566.088037961157	41.659267892325516	5621.903723629193	5480.694741224148	392.45813	392.07364	14.968550024032593	14.860667819976806	640001	-6.1639996	0.07362782955169678
700000	1846	10715.990502357483	5518.331965660047	5516.139547403922	10.290287171073937	5536.842523447966	5505.77149620327	406.21964	406.55594	12.514286699295043	12.23017104625702	690001	-6.036892	0.07493070513010025
