steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	722	608.9664649963379	276.36586471127964	243.11100701480444	106.42884961649735	529.8719662672721	189.43547185960466	121.21681	121.27305	8.139071264266967	8.198651275634766	40001	-5.987134	0.04544904828071594
100000	975	1363.8156969547272	437.0459490458342	421.0159751791118	174.58262820580157	806.5009612763092	226.58829214259063	119.78497	119.8633	7.192608704566956	7.163368558883667	90001	-6.0014267	0.049804698675870895
150000	1135	2126.0668530464172	727.5516535016292	303.25341046082383	958.4789611940464	2899.4616131867065	137.2988759779676	160.18242	159.72987	10.461731567382813	10.741140413284302	140001	-5.8236694	0.07265641540288925
200000	1201	2901.2484090328217	3735.266061546041	3714.855452922318	53.746021102384034	3847.539709245682	3682.150857638055	206.7331	206.55573	11.239722051620483	10.511193108558654	190001	-6.2934	0.07939423620700836
250000	1277	3664.390856742859	4188.226817499428	4201.134141034952	66.0585042300501	4254.700216672997	4071.682894666049	237.19731	237.29659	12.040000047683716	11.704578590393066	240001	-5.847659	0.08473106473684311
300000	1338	4429.177913188934	4257.403335505411	4287.316167061416	93.63842394016073	4399.541075618663	4115.205550135041	263.37018	263.51575	11.588784227371216	10.948550662994386	290001	-5.7821565	0.08610473573207855
350000	1398	5195.017277479172	3964.8410575677926	4454.499180225781	925.2627426797399	4684.400132060604	2022.0205643339093	284.79782	285.04712	10.488808326721191	10.21581054210663	340001	-6.040248	0.08254963904619217
400000	1452	5966.449613571167	4086.4984311978583	4517.326525865637	1414.609917985618	4617.293470028133	63.14399612158717	304.19962	304.5867	9.90162209033966	9.04024980545044	390001	-6.081748	0.0868431031703949
450000	1507	6739.354201078415	4121.431393949211	4615.53519265168	1094.3404237415052	4717.42771356818	2011.792170268904	317.67505	317.68372	9.60553798675537	9.23151014328003	440001	-6.0708365	0.08476709574460983
500000	1563	7513.225737333298	4123.491302736366	4576.9336575035595	1400.155496352487	4631.625990991767	141.89384399927877	329.8781	330.02005	10.058303942680359	9.912819175720214	490001	-6.30255	0.08854149281978607
550000	1617	8286.80644583702	4662.153516404939	4675.5655835812995	49.79339361427953	4729.342508955234	4586.148499003648	338.42807	338.32138	8.94028823375702	8.79248706817627	540001	-6.3086367	0.08277899771928787
600000	1671	9063.971505641937	4742.625360994434	4734.135647377934	39.59428161002118	4798.31047674297	4701.574529802127	345.9802	346.1174	9.41998721599579	9.254747700691222	590001	-6.177782	0.08590573072433472
650000	1721	9839.08043384552	4805.369084786191	4814.440293500281	21.426255231600546	4825.943741279831	4760.3054901773485	355.83755	355.87808	7.9466033983230595	7.948126668930054	640001	-6.0688457	0.08182582259178162
700000	1782	10618.645230293274	4835.91242890948	4842.0917622452	13.832982000032164	4849.070486081786	4800.833865608473	365.86032	365.6154	7.647374701499939	7.876689426898956	690001	-6.0873175	0.0781557559967041
750000	1832	11397.533408164978	4821.123928385203	4826.305578865287	22.12656874432606	4846.319676004534	4769.829788818353	370.51694	370.3311	7.102120518684387	7.277440831661225	740001	-5.9052596	0.07734771817922592
800000	1883	12177.721028327942	4828.230682439507	4841.432611082053	31.54524843688396	4861.185657637828	4777.991489154029	382.22256	382.3604	7.487413227558136	7.010942304134369	790001	-5.6776814	0.07391125708818436
850000	1933	12956.555896520615	4940.897910677037	4946.553943474137	27.9982740465527	4958.414153405337	4863.545714246366	385.86728	386.13065	6.348664562702179	6.254627482891083	840001	-6.1906004	0.07459131628274918
900000	1983	13736.309153318405	4859.499292232254	4860.588974897135	7.701538533239001	4871.5274672220485	4846.342832154715	392.8157	392.5244	6.54894898891449	6.603338141441345	890001	-6.143819	0.07292188704013824
950000	2033	14513.454781293869	4841.956247500231	4851.301340342011	31.147978741928146	4875.036361588732	4798.0936638966	388.62894	388.63675	6.524813096523285	6.81712393283844	940001	-6.0171757	0.07150757312774658
1000000	2083	15288.520821332932	4839.548855720121	4833.319587046337	31.844837995207346	4902.344782714538	4807.113011325937	408.62057	408.85565	6.0318271446228025	6.036194067001343	990001	-5.8116045	0.06943654268980026
