steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	725	611.4939074516296	342.3794330381995	333.29087941973233	183.36390232651564	663.0414516156746	149.2405854423356	119.05562	118.21778	7.807607417106628	8.136327209472656	40001	-6.6881456	0.03888146951794624
100000	958	1372.2910282611847	958.7692515802988	921.832439806891	335.3532537893012	1753.7031057265617	626.838528546647	135.76259	135.59071	8.806795473098754	8.547392230033875	90001	-5.8529024	0.04911652207374573
150000	1068	2146.06800031662	3055.9256969126095	3596.6055125701632	920.5691368235322	3937.4667694531977	1631.5378032310045	188.37311	188.33647	13.694766578674317	13.266623678207397	140001	-6.334821	0.06980542093515396
200000	1146	2915.7879145145416	2984.1301275355204	3603.290801430807	966.8029446108466	3790.025838980904	1446.0855303154383	220.27016	220.18335	15.701744222640992	14.97917941570282	190001	-6.4362392	0.07584182173013687
250000	1205	3688.579590320587	3178.433626172838	3617.92092614946	922.0855727029283	3712.1898265931263	1201.4729561596084	248.20515	248.42723	12.790089206695557	12.725014634132386	240001	-6.50037	0.07645834982395172
300000	1264	4449.582956075668	3454.1016651707723	3739.4947336342807	1010.0384687534548	4416.371567430343	1434.1068030618703	275.84232	275.67075	13.596300921440125	13.744366884231567	290001	-6.05154	0.08015280216932297
350000	1323	5208.786509275436	3175.135056853022	4270.738622180581	1918.2893533581866	4559.155799351329	77.29624829475989	298.9455	298.98953	15.35301794052124	15.086950378417969	340001	-6.05982	0.08496496081352234
400000	1382	5972.285072565079	4485.513309026633	4971.930633845651	1564.9253209372794	5166.018250856682	45.22039129481883	321.81882	321.6541	15.62818754196167	16.500139594078064	390001	-5.8212757	0.08056918531656265
450000	1434	6740.852536201477	4892.101670849452	4889.644656295432	92.02473865708896	5078.229974805777	4769.287793573419	347.71417	347.28186	21.942921166419982	22.274531135559084	440001	-6.095587	0.07964221388101578
500000	1488	7505.865781068802	5103.411569575532	5146.056493651513	103.34857523928126	5177.547555581177	4833.595542651461	357.92224	358.20752	12.8755220079422	13.600740509033203	490001	-5.8899455	0.07870910316705704
550000	1541	8274.124543190002	3591.527243172355	4998.762107324292	2338.800157556128	5138.934855785943	161.74910704183498	365.06418	365.181	11.133534817695617	11.657725586891175	540001	-5.6898575	0.07818421721458435
600000	1595	9039.687513589859	5091.186679378245	5107.246067455331	87.63656874151621	5195.210580441807	4932.440086495198	378.15845	378.5362	11.804833168983459	11.735705904960632	590001	-5.7148566	0.08091721683740616
650000	1650	9817.163346767426	4978.904856429612	4979.722607025921	27.794366774163908	5024.952873879049	4942.8802746521305	385.06876	385.29575	16.48342122077942	14.605742464065552	640001	-6.1872635	0.08400849252939224
700000	1702	10602.01914024353	4773.279379074305	5319.335303832394	1070.194111283491	5497.95283681084	2260.6267474547644	399.7574	399.91974	11.315031681060791	13.974742016792298	690001	-6.2822747	0.08039485663175583
750000	1756	11395.842702388763	5426.7393660923835	5442.72400636953	56.04964255663384	5499.255772857921	5336.25089981805	400.9151	401.18045	16.310290117263794	16.583366255760193	740001	-6.5665116	0.08209855854511261
800000	1811	12189.75998711586	5337.936755229776	5437.065630615305	358.7271501292357	5497.184652466952	4321.412906004544	411.55594	411.3177	15.117376065254211	16.119985027313234	790001	-5.9092097	0.07651637494564056
