steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	963.3574187755585	4209.678833888022	4401.088978742805	467.68295679267294	4616.500925055899	3180.424620925502	179.65498	179.71968	3.6282272386550902	3.656534869670868	40001	-5.8548293	0.07515966892242432
100000	100	2144.032593011856	4795.043282769431	5825.6460317278625	1824.6298077311073	6377.432503958902	1852.4739180088402	337.0851	336.701	7.672225623130799	8.059089670181274	90001	-5.889914	0.12661810219287872
150000	150	3328.283445119858	8585.912330766876	8623.404454552496	208.53974263711922	8769.427463015658	8044.1958074042695	448.799	448.96655	10.187386107444762	10.34228765964508	140001	-6.2925544	0.16736917197704315
200000	200	4513.6374299526215	9972.42650856355	9960.65224983549	140.431836899055	10223.024460096995	9721.472008042474	544.72437	544.32544	15.9893092918396	16.492146406173706	190001	-5.765571	0.22503222525119781
250000	250	5713.033373594284	9805.859898928084	9757.708696065078	138.65562826725315	10005.480442265398	9604.67731453664	638.25836	638.1695	20.506949911117555	21.28680763244629	240001	-6.0804324	0.2671471834182739
300000	300	6909.611960411072	11079.702507883216	11005.07667590055	165.8143672745206	11413.280042079617	10883.672285138011	679.3127	679.4095	18.280981855392454	18.921567535400392	290001	-5.249672	0.28297755122184753
350000	350	8129.233899116516	11523.948248773013	11503.253301512786	173.17131981442182	11770.177630018008	11298.306921583733	710.1272	710.55005	21.55496129989624	22.561751937866212	340001	-5.8630586	0.30339062213897705
400000	400	9343.558752775192	10667.593210345007	10639.982107567586	108.05547290677366	10864.350392487035	10472.712102444746	759.52856	759.43964	22.82107280731201	23.15658821105957	390001	-5.9893484	0.3086406886577606
450000	450	10543.651739120483	11701.396395019272	11705.81785270336	92.82235872551416	11832.008978130936	11526.502964954949	790.13086	790.05164	21.54926941871643	20.502499837875366	440001	-5.9555726	0.3108517527580261
500000	500	11747.53258895874	12220.533912500072	12213.850993095639	150.86741579199384	12415.788845241133	11894.464593067332	806.651	806.6295	22.61531352996826	22.949023761749267	490001	-5.613583	0.3179914057254791
550000	550	12959.061844348907	12042.431476522233	12048.403359024134	121.62909965148836	12271.157672937476	11857.349701617723	814.09265	814.4005	25.2040753364563	29.51839406967163	540001	-5.869191	0.31715357303619385
600000	600	14221.00957274437	11175.909963169226	11395.399338067338	1361.425169872828	12179.815214918191	7493.914371754445	843.96313	844.0765	25.463992204666138	25.610187158584594	590001	-6.250425	0.3246707618236542
650000	650	15429.726034164429	12657.004961636114	12624.853288144655	130.59032638333414	12936.067291381753	12470.861682575862	867.7575	867.7933	22.020406942367554	21.59716033935547	640001	-5.773173	0.3155369460582733
700000	700	16642.97597384453	12614.036732331648	12631.95250291477	75.14731542746756	12753.893383026367	12496.40337746921	874.32074	874.6327	24.75279291152954	32.3879612827301	690001	-5.926071	0.3128681480884552
750000	750	17855.067060709	12424.65766928059	12429.294521161562	67.47193692333356	12498.281377021212	12319.080378267921	878.3053	878.3379	24.398135786056518	23.050948400497436	740001	-6.049284	0.314145028591156
800000	800	19073.395453214645	12937.165298732416	12960.294917109568	96.88778507104547	13122.735501377156	12784.375716058987	900.20105	900.53754	23.768626585006714	22.767781324386597	790001	-5.9286246	0.3139250874519348
850000	850	20293.651496887207	12909.246456999686	12909.963949430341	123.54844420089408	13086.841135834442	12728.202277073211	918.0979	917.77563	21.553140258789064	26.79135666847229	840001	-5.7079453	0.3210568428039551
900000	900	21516.79243659973	12898.135903946835	12887.357352001567	163.86362732804574	13299.502030670925	12663.948759163268	929.5999	929.4119	20.259489679336546	20.435570516586303	890001	-5.887931	0.30395108461380005
950000	950	22742.626221895218	12789.853954956094	12805.222062233071	71.9214449591508	12893.839999055506	12674.003879077347	935.5569	935.5825	22.143725299835204	22.836404724121095	940001	-5.841126	0.327759325504303
1000000	1000	24098.339721918106	13189.541233508244	13247.812217298071	107.43186685466594	13293.843603629524	13002.431808467187	945.91724	945.9086	22.092831296920778	21.28672731399536	990001	-6.4309754	0.31604382395744324
