steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	50	672.964168548584	4736.932572511055	4717.576424764524	45.497317615958195	4827.489924302623	4664.88784726682	186.67278	186.72438	2.5973713409900667	2.6043135678768157	40001	-6.1466393	0.08156523108482361
100000	100	1546.5895490646362	5466.144607526504	5479.9391801804195	132.43347574998373	5667.978810116734	5197.593122163261	329.56592	329.76535	3.1292948722839355	2.946307165622711	90001	-6.0880556	0.10843432694673538
150000	150	2419.12531208992	5870.360601735063	5869.77334523869	94.49187608150062	6027.854909938578	5722.496521901078	393.73038	393.6696	3.190166721343994	3.2741530776023864	140001	-5.866093	0.11455356329679489
200000	200	3292.4355976581573	6253.524007055139	6289.925848119877	95.92607472630424	6375.201603802562	6053.67071649946	427.92493	428.079	3.6425774836540223	3.5684461045265197	190001	-5.9876575	0.12564188241958618
250000	250	4163.993290424347	6511.952506195419	6520.706890079443	84.62622742875928	6614.968874350672	6337.966828543238	470.70132	470.67303	4.194359767436981	4.013377962112426	240001	-6.325584	0.13213646411895752
300000	300	5039.226228475571	6844.74359283211	6835.1808005989815	51.72755601841802	6916.759897643642	6769.003364191192	496.27267	496.32043	4.427281091213226	4.536410915851593	290001	-5.8963985	0.13129639625549316
350000	350	5912.256043672562	6976.367744169238	6963.226367556701	62.95226736427154	7083.750617186552	6870.862623477065	526.50037	526.47375	3.8311129903793333	3.929397556781769	340001	-6.328758	0.13110551238059998
400000	400	6784.7205193042755	6926.926005187338	6927.6967322184655	39.00762623385829	6985.2949589784985	6864.455185871495	540.42114	540.43665	4.185238418579101	4.217004976272583	390001	-6.171628	0.1307845413684845
450000	450	7654.561400413513	7111.9536783793355	7137.457128429108	114.44858188414169	7277.857276411307	6940.01574422598	549.81573	549.84485	3.9205177521705625	3.974038326740265	440001	-5.678368	0.13065172731876373
500000	500	8524.235697031021	7265.947207983403	7257.275951881559	65.26614084553191	7413.93862492104	7177.462292903216	558.423	558.4998	4.146301865577698	4.308090102672577	490001	-5.974796	0.1312330812215805
550000	550	9392.88311624527	7254.034932427516	7272.115290512565	83.03651025976716	7365.037407226023	7104.6897548884335	574.2022	574.169	4.0948226618766785	4.160788168907166	540001	-6.092084	0.1336444616317749
600000	600	10248.248826503754	7345.077425678256	7311.621287112172	104.58927864300274	7521.780925082467	7180.335531234527	575.96173	576.0862	4.384611768722534	4.304174165725708	590001	-5.6341605	0.13176847994327545
650000	650	11072.219081401825	7551.95487149423	7521.057655462305	79.27161632073734	7682.076814516363	7470.183707435982	583.4541	583.4471	4.339339098930359	4.303189308643341	640001	-6.042459	0.13281674683094025
700000	700	11907.677493333817	7447.4057694536	7440.658292092324	55.024577782875305	7541.225992679618	7374.9841858771615	586.2775	586.36786	4.333338613510132	4.450195872783661	690001	-6.120001	0.1332327276468277
750000	750	12739.838553190231	7650.1916524175285	7641.217799278933	93.37418034340894	7831.568127194318	7522.468284894901	597.2682	597.257	4.404560840129852	4.466643776893616	740001	-5.91515	0.1338115930557251
800000	800	13566.157168388367	7599.478920445434	7641.619352434873	121.6937748720768	7730.657992027867	7399.043968142219	605.00305	605.1899	4.350252234935761	4.2904555606842045	790001	-6.6318855	0.13507823646068573
850000	850	14396.172509908676	7591.141873073523	7578.104763231567	78.95990984721817	7715.940134746449	7498.701626016451	610.72424	610.64026	4.272870764732361	4.157818505764007	840001	-5.808617	0.13439849019050598
900000	900	15234.882193088531	7845.21853704652	7845.901950993748	74.7286426647118	7957.340568697834	7719.262235648859	619.19293	619.291	4.8694517612457275	4.787711880207062	890001	-5.944495	0.13785137236118317
950000	950	16070.497722387314	7768.582223579445	7755.468883918143	72.44517661901702	7924.737299634574	7698.999858282323	617.3155	617.2805	4.299411332607269	4.309597632884979	940001	-6.014342	0.13341154158115387
1000000	1000	16897.354294776917	7732.511050620832	7852.460764729407	416.4865685409292	7956.0719420450505	6571.497199080588	624.199	624.0374	5.05642627954483	5.024999461174011	990001	-6.0382805	0.13574717938899994
