steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	752	977.6032845973969	259.20294846989907	255.4884636678429	38.2663551151395	328.3564923916877	195.8806287894864	130.49184	130.08302	9.698711314201354	10.02540955543518	40001	-5.825733	0.05544070154428482
100000	1092	2190.0563876628876	281.3935909340894	275.3259872196582	17.457416864554204	329.8621097523364	270.7104770294546	117.20456	117.45149	7.123365769386291	6.915141944885254	90001	-6.524767	0.047526389360427856
150000	1364	3410.9967143535614	2786.494480018903	3141.826406361617	747.0597674462437	3304.301736643534	1280.0690090874439	148.6083	148.38713	9.003279948234558	9.182665724754333	140001	-5.7778125	0.06674416363239288
200000	1468	4616.538628816605	2716.821317091786	3656.7997879934546	1555.1254029652475	4048.531248589989	265.5223542995973	188.71394	188.89366	11.783008046150208	11.945262994766235	190001	-6.0122843	0.08264893293380737
250000	1541	5832.2981741428375	4042.053540541463	4031.3188706396227	121.66980718964801	4242.305912849046	3887.3982244980684	214.15253	213.92763	11.341221852302551	12.291007957458497	240001	-6.02709	0.0905553549528122
300000	1600	7047.897172927856	3836.903534915554	4144.584587776088	826.5683112836554	4486.414254049546	1695.567845004153	241.01385	241.13385	12.29348035812378	12.123658056259154	290001	-5.969858	0.09564683586359024
350000	1657	8282.92523598671	4321.457769618109	4310.918876476992	146.35487902863974	4490.646142951214	4117.225012690099	257.89288	257.99512	13.09495400905609	12.749094996452332	340001	-6.167541	0.09309271723031998
400000	1709	9527.78141450882	4462.780348152441	4475.455021874095	103.95278410173748	4622.990292832393	4209.900291494797	279.3316	279.28333	11.70420968055725	11.51358771800995	390001	-6.1566854	0.08696645498275757
450000	1763	10748.71342253685	4474.0950632432505	4477.406603708203	47.37673933472074	4558.481256070712	4395.871077988999	301.39954	301.50464	10.988758616447448	11.229524245262146	440001	-5.9729033	0.09279562532901764
500000	1814	11964.853879213333	4513.2888387794155	4524.461478052015	36.80368368689065	4562.413490269302	4454.667759072267	304.13556	304.39914	10.398938145637512	10.795601410865784	490001	-5.8638444	0.08956611901521683
550000	1865	13183.88740181923	4682.729042228337	4698.5424966649825	69.6179240072023	4758.303597646448	4528.562285249577	318.84583	318.66806	11.204521832466126	10.452099943161011	540001	-6.5314174	0.08859960734844208
600000	1918	14409.355928659439	4465.767598869211	4575.024941694554	345.98738864162874	4754.5416014122675	3550.3239703619456	327.72275	327.72305	10.009835257530213	10.391862468719482	590001	-6.0704055	0.08737954497337341
650000	1971	15626.874316215515	4740.210526244321	4748.905018361147	86.15729748137409	4884.49787138942	4628.251522900225	335.20776	334.77505	9.702587752342223	9.527615003585815	640001	-5.978622	0.08446504920721054
700000	2021	16844.333323955536	4629.615376203864	4628.515366887431	63.88871928466296	4726.390178579944	4534.5244839951065	341.66214	341.83325	9.688274493217468	9.522773795127868	690001	-5.832729	0.08499922603368759
750000	2071	18064.939193964005	4829.17526181667	4830.026330891412	78.86940634498298	4975.224892212776	4661.723569875224	351.1922	351.18893	8.440266904830933	8.535897197723388	740001	-5.9108214	0.08213257044553757
800000	2124	19285.657435655594	4866.08587779856	4860.313714114409	84.22191734886232	4971.97798038103	4750.59257970705	356.1532	355.7458	8.66047218799591	8.853239097595214	790001	-6.1176906	0.07726535201072693
850000	2174	20511.531131744385	4922.125090144412	4918.14507905907	37.571951310596646	4984.249891372233	4878.450621523977	363.49088	363.19754	8.655687837600707	8.690102753639222	840001	-6.3141303	0.07979504764080048
900000	2224	21752.059171438217	4856.107154347562	4859.810100490704	20.184383199774846	4887.007943047094	4828.738995116167	372.83762	372.80634	9.715160622596741	9.854885964393615	890001	-6.005234	0.08183017373085022
950000	2274	22978.841300725937	4718.550807355073	4872.2658785076	519.1985757803974	4999.674634179751	3257.3266395594374	373.7095	373.62622	8.631823949813842	8.812845349311829	940001	-6.114393	0.079628586769104
1000000	2325	24202.762069940567	5052.833618731121	5040.460242708232	43.550152500504	5130.661304429684	5001.478442225569	387.2914	387.55478	8.622404351234437	8.821246662139892	990001	-6.172565	0.07808293402194977
