steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	770	642.6154849529266	159.0757306235753	156.38549882753347	25.66015930593721	196.08880355077156	111.51719482077756	123.89589	124.0275	9.297903003692626	8.64907769203186	40001	-6.340422	0.05470770597457886
100000	1059	1440.6097581386566	766.8803671542044	707.6410690536466	268.3468894133572	1140.3452200957681	488.6024503151491	129.44598	129.18372	9.159027814865112	9.034570636749267	90001	-6.2013283	0.05900365859270096
150000	1206	2245.905230998993	3153.220336143249	3436.1084393572455	960.4180829382516	3588.8921685579962	425.2054166787971	183.6317	183.64053	12.531796803474426	11.731307673454285	140001	-6.1350927	0.0748719871044159
200000	1279	3047.5261130332947	1800.9656141639794	356.8189567934223	1951.183445452252	4091.535737905882	193.96897751947833	235.6395	235.68518	11.365122470855713	11.784173130989075	190001	-6.1130753	0.07920286804437637
250000	1338	3857.2456312179565	4531.058432937576	4530.066381030708	28.448598650533746	4575.62047116142	4499.310386023388	278.13135	277.916	11.710238089561463	11.241682662963868	240001	-6.0329986	0.07881839573383331
300000	1394	4668.438012599945	3755.4296440766198	4662.921885642266	1916.8576384694477	4764.555820493039	107.3334982138705	309.78195	310.00995	13.14679967880249	12.244281125068664	290001	-6.1953754	0.07937731593847275
350000	1454	5487.648223161697	5037.225170133146	5047.3255193315945	34.19080789847542	5068.238027832993	4958.327118960531	334.47864	334.14154	11.616869449615479	12.359094095230102	340001	-5.729576	0.08495035767555237
400000	1513	6309.565146207809	5301.576653083471	5297.068839508125	18.69696968710054	5336.801148666521	5272.251223296231	357.61194	357.6888	11.868498039245605	11.660465326309204	390001	-5.594966	0.08417458087205887
450000	1564	7120.629282474518	5365.478852362556	5363.857923011845	30.79092947305013	5424.341999923641	5322.104857931323	377.09326	377.09363	10.98706132888794	11.904243459701538	440001	-5.5451536	0.0828968957066536
500000	1618	7940.155316829681	3318.37356746424	5285.637719767551	2570.2464889003977	5353.992060604204	251.62830099495122	386.3958	386.2534	10.257866249084472	10.16104742527008	490001	-6.2057314	0.0794546827673912
550000	1676	8755.03362441063	5729.999589667375	5733.0937236376485	22.596076845544722	5766.651615738308	5694.072738027471	399.314	399.02832	9.996305689811706	9.392182140350341	540001	-5.823326	0.0799388512969017
600000	1726	9573.730353593826	5807.807163670262	5815.711607193768	47.35175106226726	5866.060291781818	5699.476696565216	409.08722	409.07986	8.570666933059693	8.842979636192322	590001	-5.9618077	0.07790467888116837
650000	1776	10385.212905883789	5606.87904585239	5603.8038385806385	35.738034915226244	5654.912703612291	5530.527598464216	433.47528	433.4842	8.073705434799194	7.9346310019493105	640001	-5.9685793	0.08084910362958908
700000	1827	11187.400176525116	5594.478098279332	5598.3072945637105	22.76132961825934	5622.859256820437	5542.755188436862	437.35748	437.57056	8.628236784934998	8.106888508796692	690001	-5.8101535	0.08144936710596085
750000	1881	11987.723244905472	5480.795251063807	5488.95231049957	19.141041018556333	5504.534055925903	5445.557002222272	439.0245	438.8073	8.684565305709839	8.914848742485047	740001	-5.990824	0.0789351612329483
800000	1932	12792.668025970459	5690.78007727069	5689.292620316284	14.39513852717281	5716.681673168469	5671.238388458838	450.36716	450.15726	9.173745546340943	8.600224480628967	790001	-6.2212834	0.07570190727710724
850000	1983	13606.578269720078	5823.527041899583	5817.900826466828	15.864238298368793	5858.64452962043	5809.17159034494	455.77066	455.95676	7.412811353206634	7.352671234607697	840001	-6.069626	0.07885187119245529
900000	2033	14424.830853700638	5765.178592529348	5767.081081017668	26.20934898369814	5807.211668893683	5718.783800097469	469.89276	470.22137	7.694799528121949	6.981366195678711	890001	-5.7922087	0.07789169996976852
950000	2083	15229.643357753754	5723.060363915017	5724.719245628904	8.822056924857613	5731.9582931438335	5710.42210158451	471.10883	471.1369	7.041422593593597	7.718246285915375	940001	-6.057629	0.07629135251045227
1000000	2134	16023.611795425415	2605.3660263677957	677.2976956436929	2691.493869393465	5787.465506033846	435.31143761148746	474.39807	474.37152	7.328176963329315	6.853744912147522	990001	-5.773568	0.0757686197757721
