steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	771	940.5946688652039	316.5420931572381	316.93916424544415	102.16029261178247	478.2135515971587	145.48939564884117	144.99759	144.812	9.436536045074464	10.276025700569154	40001	-5.41109	0.05879233404994011
100000	1021	2130.044494867325	551.6173669453129	546.471764459362	38.69905073848159	650.4387603947569	512.5646737029941	132.09676	132.0689	9.154108757972717	9.570693793296813	90001	-6.3015704	0.06188096106052399
150000	1156	3371.046822786331	2468.439373165647	2944.708404821725	1141.6371717918917	3488.4929903783764	307.1589696613373	168.95015	169.56853	10.490634002685546	11.472601761817932	140001	-5.735795	0.076689712703228
200000	1245	4613.563360691071	3016.0002535691788	3874.4523120894864	1463.2169554724069	4049.870686000977	400.6066537741211	210.39987	210.15091	13.624346208572387	13.848878445625305	190001	-5.884392	0.0838790237903595
250000	1325	5834.385288238525	242.90527090582225	125.56065015051541	303.80585213614404	1081.1554449061389	110.91387324318892	244.95613	245.0673	14.150636186599732	14.840650386810303	240001	-6.543387	0.08359949290752411
300000	1387	7082.639556646347	4342.245196805313	4369.842743725942	177.9656552848225	4517.599636621163	3937.5893718644393	260.43185	260.6847	13.280741744041443	12.919063377380372	290001	-5.8514833	0.08617665618658066
350000	1451	8323.9762301445	3892.3344890085496	4302.041437422156	1264.4268937877966	4349.1518412198875	296.756721377476	273.9986	274.0953	13.960789346694947	14.786964335441589	340001	-6.1978235	0.08888345956802368
400000	1530	9556.631849050522	2455.6279532298877	2712.913592351937	2012.288081832448	4531.670399686874	10.836613657426081	295.52737	295.42548	14.998556184768677	16.117724304199218	390001	-5.7964005	0.09452035278081894
450000	1596	10780.1038479805	4293.1620752664985	4311.880235225745	96.48636751325733	4405.153480625715	4139.236185943613	336.10492	337.10336	30.92423921585083	30.926300983428956	440001	-5.908449	0.1264117807149887
500000	1648	12011.239380836487	4733.793698550531	4740.207340985699	52.60950955496111	4831.032204201511	4650.975350185178	316.71274	316.7507	15.530988483428954	15.819508743286132	490001	-6.253251	0.08738504350185394
550000	1710	13260.645499229431	4756.445301374362	4755.925036059332	11.738166784293277	4776.728147460574	4739.427413414946	336.4842	336.31125	17.04119475364685	16.89264298439026	540001	-6.0744724	0.08785255998373032
600000	1761	14514.419717788696	4842.474293364713	4879.529346007366	161.55436970875738	5028.2920100788615	4538.2206058809315	355.2813	355.07434	12.432957673072815	13.657769427299499	590001	-6.031494	0.07940533012151718
650000	1822	15774.113270759583	4936.673275991819	4939.019481543671	41.73079530612669	5001.679607899468	4861.499225523102	366.3954	366.34677	16.91293113708496	16.540653944015503	640001	-6.183511	0.08198718726634979
700000	1873	17048.19909095764	4953.70853833848	4938.942287736918	137.37324791030213	5115.92648761316	4755.889643172958	371.57632	371.62582	13.381077842712402	13.91383231639862	690001	-6.076831	0.0797509029507637
750000	1924	18328.939145088196	4818.721353509754	4798.680088082439	121.2501076185325	5025.733285562502	4653.502939033982	379.35306	379.39212	11.314541673660278	11.95086615562439	740001	-5.9427223	0.07651922106742859
800000	1974	19602.99854707718	4915.122534935786	4919.017182496403	42.32014447482234	4969.577658667134	4837.094859159494	384.26187	384.52322	12.044543986320496	13.456572251319885	790001	-5.7366943	0.07511579990386963
850000	2026	20884.299144744873	4078.3430833686875	5050.1111028424075	2081.7215194023424	5177.082712218462	37.2209350986704	392.16205	391.8127	12.942267956733703	12.740907959938049	840001	-6.106414	0.07258764654397964
900000	2079	22174.990055799484	5037.867774323253	5043.0968342753495	46.86712941273528	5132.677821454498	4968.372262346847	399.44803	399.27066	10.485672330856323	10.870939149856568	890001	-6.0799494	0.07109998166561127
950000	2130	23452.102199077606	4716.012781826849	4665.660946120503	158.93597196027744	4950.444142612223	4506.436551806492	401.76294	401.75876	10.464924726486206	10.664732608795166	940001	-6.2172613	0.07353021949529648
1000000	2180	24724.568929195404	5070.35338205446	5112.517831014689	144.96500097525427	5158.848903882143	4661.848611651593	408.65564	409.21127	9.61027096748352	9.028020281791687	990001	-6.1505666	0.06968633085489273
