steps	episodes	elapsed	mean	median	stdev	max	min	average_q1	average_q2	average_q_func1_loss	average_q_func2_loss	n_updates	average_entropy	temperature
50000	716	592.3698093891144	333.8424783178556	253.7032336854446	179.9374676118694	766.4812744109338	194.22268096146885	125.22352	125.50192	7.338754396438599	7.6647841835021975	40001	-5.7683744	0.046745359897613525
100000	987	1337.1559991836548	736.7930519705484	967.9275857111827	534.146391829904	1704.7963902726458	148.5034447018259	154.91862	155.25633	15.812337322235107	15.878584518432618	90001	-5.737416	0.07630643248558044
150000	1095	2090.2011153697968	3113.3048623183035	3953.389636976181	1414.7017836239638	4135.380198335994	87.74044286977323	216.97336	216.96243	23.9322691822052	24.431937799453735	140001	-6.190041	0.0873718336224556
200000	1190	2850.471493244171	4307.456421419164	4734.92319330502	1422.2165905443396	4937.213349045725	284.9987694904252	258.4796	259.42767	21.259497003555296	22.46314838409424	190001	-5.9801188	0.09648331999778748
250000	1257	3614.2327802181244	4074.8639233343197	4539.5192259928845	1400.9134891923268	4745.555053194197	133.97385577107195	293.14273	293.1808	21.004825344085692	22.31294033050537	240001	-5.914858	0.09902665764093399
300000	1329	4376.334484100342	4345.5536523229275	5123.209136971464	1431.1851023676713	5358.393327067913	1935.4509148257287	309.67163	309.7472	21.65908619880676	20.53638556480408	290001	-5.8766503	0.10467730462551117
350000	1390	5130.703384876251	5216.952197775474	5212.860337767637	142.43733567206397	5519.911108183198	5005.240909306146	330.97696	330.8221	28.14944483757019	28.136816177368164	340001	-5.555007	0.09726370871067047
400000	1444	5886.911468029022	4712.025234373704	4826.062010207219	466.5130450907588	5013.702771088368	3429.0237116483313	353.3081	353.83118	19.46302438735962	17.68369062423706	390001	-6.097334	0.09663616120815277
450000	1504	6640.303852796555	4957.139268598317	4955.102386777375	101.42967468398763	5159.379417207056	4823.698819181721	352.56482	352.73468	20.719735546112062	20.8037540435791	440001	-6.113333	0.09743735939264297
500000	1559	7396.190432071686	5456.528804707812	5457.591128292041	62.456832760823815	5558.562719155864	5351.556893189824	377.84464	377.8098	18.92076861381531	18.92631509780884	490001	-5.9999785	0.09664516896009445
550000	1614	8155.137276887894	5252.273926342088	5264.317823696521	116.62939069183732	5423.903193329044	5022.898480380903	391.69083	391.84262	17.785241107940674	18.107159633636474	540001	-5.679364	0.0979190319776535
600000	1665	8914.257702589035	5697.179938098605	5703.717094610456	62.48104382608982	5778.655408381061	5548.384924191438	395.8172	395.92615	21.429528303146363	22.329487733840942	590001	-6.170583	0.09398254752159119
650000	1716	9671.030443429947	5329.527203853754	5299.521838898118	103.73742193892768	5520.119293858271	5196.142934678418	411.0167	411.15073	14.676689281463624	15.096792430877686	640001	-6.150813	0.09231709688901901
700000	1767	10424.861550569534	2811.145182347294	2663.028956475986	2681.098924053227	5546.06680192978	232.43073749884212	412.7643	412.3933	22.906177463531495	19.89157364368439	690001	-5.7229657	0.09315364062786102
750000	1819	11189.702090024948	5534.401910947756	5559.51423904036	230.46601166723477	5765.004495082232	5069.19684578562	432.86798	432.74142	17.24988091468811	15.77912437915802	740001	-6.2386827	0.09192012250423431
800000	1870	11952.786974430084	5663.05716500297	5687.117471146603	94.07106930944421	5726.235148778798	5406.592274372044	434.04483	434.15775	14.138658227920532	14.060527863502502	790001	-5.896003	0.0919916182756424
850000	1923	12708.504792451859	2542.319391867186	1184.65582973673	2086.360519451464	5591.583742218354	1047.2561051552204	447.7683	447.58676	12.84388960838318	12.51866497039795	840001	-6.062885	0.08751948922872543
900000	1973	13469.660544395447	5867.921157122509	5871.759072451751	49.78505878941831	5931.8969025264205	5748.42428673656	447.53943	447.5643	13.154628925323486	13.203343229293823	890001	-6.020901	0.08676228672266006
950000	2025	14229.360445022583	5756.178824095307	5769.878459077017	114.32540895805576	5978.069240444161	5603.03464695992	456.2441	456.579	21.632316818237303	22.153612723350523	940001	-6.0160117	0.08815299719572067
1000000	2078	14988.754510879517	5876.658553524831	5882.437880674628	20.42587449272278	5901.308774053242	5825.764328689149	464.0574	464.0459	14.108260998725891	13.210817079544068	990001	-5.8021054	0.08882405608892441
